id,category,type,front,back,example,hint
c0029,Accounting Foundations,Collocation,recognise income,einen Ertrag erfassen,We need to recognise income before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0030,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Ertrag erfassen.“,recognise income,We need to recognise income before the accounting treatment is finalised.,Aktive Anwendung
v0031,Accounting Foundations,Vocabulary,receivable,Forderung,We need to record a receivable before the accounting treatment is finalised.,Fachbegriff
c0032,Accounting Foundations,Collocation,record a receivable,eine Forderung erfassen,We need to record a receivable before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0033,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine Forderung erfassen.“,record a receivable,We need to record a receivable before the accounting treatment is finalised.,Aktive Anwendung
v0034,Accounting Foundations,Vocabulary,payable,Verbindlichkeit aus Lieferungen und Leistungen,We need to record a payable before the accounting treatment is finalised.,Fachbegriff
c0035,Accounting Foundations,Collocation,record a payable,eine Verbindlichkeit erfassen,We need to record a payable before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0036,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine Verbindlichkeit erfassen.“,record a payable,We need to record a payable before the accounting treatment is finalised.,Aktive Anwendung
v0037,Accounting Foundations,Vocabulary,accrual,periodengerechte Abgrenzung,We need to record an accrual before the accounting treatment is finalised.,Fachbegriff
c0038,Accounting Foundations,Collocation,record an accrual,eine Abgrenzung buchen,We need to record an accrual before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0039,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine Abgrenzung buchen.“,record an accrual,We need to record an accrual before the accounting treatment is finalised.,Aktive Anwendung
v0040,Accounting Foundations,Vocabulary,prepayment,Vorauszahlung / aktiver Rechnungsabgrenzungsposten,We need to recognise a prepayment before the accounting treatment is finalised.,Fachbegriff
c0041,Accounting Foundations,Collocation,recognise a prepayment,eine Vorauszahlung abgrenzen,We need to recognise a prepayment before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0042,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine Vorauszahlung abgrenzen.“,recognise a prepayment,We need to recognise a prepayment before the accounting treatment is finalised.,Aktive Anwendung
v0043,Accounting Foundations,Vocabulary,provision,Rückstellung,We need to recognise a provision before the accounting treatment is finalised.,Fachbegriff
c0044,Accounting Foundations,Collocation,recognise a provision,eine Rückstellung bilden,We need to recognise a provision before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0045,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine Rückstellung bilden.“,recognise a provision,We need to recognise a provision before the accounting treatment is finalised.,Aktive Anwendung
v0046,Accounting Foundations,Vocabulary,contingent liability,Eventualverbindlichkeit,We need to disclose a contingent liability before the accounting treatment is finalised.,Fachbegriff
c0047,Accounting Foundations,Collocation,disclose a contingent liability,eine Eventualverbindlichkeit angeben,We need to disclose a contingent liability before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0048,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine Eventualverbindlichkeit angeben.“,disclose a contingent liability,We need to disclose a contingent liability before the accounting treatment is finalised.,Aktive Anwendung
v0049,Accounting Foundations,Vocabulary,bad debt allowance,Wertberichtigung auf Forderungen,We need to calculate the bad debt allowance before the accounting treatment is finalised.,Fachbegriff
c0050,Accounting Foundations,Collocation,calculate the bad debt allowance,die Wertberichtigung berechnen,We need to calculate the bad debt allowance before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0051,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „die Wertberichtigung berechnen.“,calculate the bad debt allowance,We need to calculate the bad debt allowance before the accounting treatment is finalised.,Aktive Anwendung
v0052,Accounting Foundations,Vocabulary,write-off,Abschreibung / Ausbuchung,We need to write off an irrecoverable receivable before the accounting treatment is finalised.,Fachbegriff
c0053,Accounting Foundations,Collocation,write off an irrecoverable receivable,eine uneinbringliche Forderung ausbuchen,We need to write off an irrecoverable receivable before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0054,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „eine uneinbringliche Forderung ausbuchen.“,write off an irrecoverable receivable,We need to write off an irrecoverable receivable before the accounting treatment is finalised.,Aktive Anwendung
v0055,Accounting Foundations,Vocabulary,depreciation,planmäßige Abschreibung,We need to calculate depreciation before the accounting treatment is finalised.,Fachbegriff
c0056,Accounting Foundations,Collocation,calculate depreciation,die Abschreibung berechnen,We need to calculate depreciation before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0057,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „die Abschreibung berechnen.“,calculate depreciation,We need to calculate depreciation before the accounting treatment is finalised.,Aktive Anwendung
v0058,Accounting Foundations,Vocabulary,amortisation,Abschreibung immaterieller Vermögenswerte,We need to record amortisation before the accounting treatment is finalised.,Fachbegriff
c0059,Accounting Foundations,Collocation,record amortisation,die Abschreibung erfassen,We need to record amortisation before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0060,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „die Abschreibung erfassen.“,record amortisation,We need to record amortisation before the accounting treatment is finalised.,Aktive Anwendung
v0061,Accounting Foundations,Vocabulary,impairment,Wertminderung,We need to perform an impairment test before the accounting treatment is finalised.,Fachbegriff
c0062,Accounting Foundations,Collocation,perform an impairment test,einen Werthaltigkeitstest durchführen,We need to perform an impairment test before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0063,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Werthaltigkeitstest durchführen.“,perform an impairment test,We need to perform an impairment test before the accounting treatment is finalised.,Aktive Anwendung
v0064,Accounting Foundations,Vocabulary,carrying amount,Buchwert,We need to determine the carrying amount before the accounting treatment is finalised.,Fachbegriff
c0065,Accounting Foundations,Collocation,determine the carrying amount,den Buchwert bestimmen,We need to determine the carrying amount before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0066,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „den Buchwert bestimmen.“,determine the carrying amount,We need to determine the carrying amount before the accounting treatment is finalised.,Aktive Anwendung
v0067,Accounting Foundations,Vocabulary,fair value,beizulegender Zeitwert,We need to measure an item at fair value before the accounting treatment is finalised.,Fachbegriff
c0068,Accounting Foundations,Collocation,measure an item at fair value,einen Posten zum Fair Value bewerten,We need to measure an item at fair value before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0069,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Posten zum Fair Value bewerten.“,measure an item at fair value,We need to measure an item at fair value before the accounting treatment is finalised.,Aktive Anwendung
v0070,Accounting Foundations,Vocabulary,historical cost,Anschaffungskostenprinzip,We need to measure an asset at historical cost before the accounting treatment is finalised.,Fachbegriff
c0071,Accounting Foundations,Collocation,measure an asset at historical cost,einen Vermögenswert zu Anschaffungskosten bewerten,We need to measure an asset at historical cost before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0072,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Vermögenswert zu Anschaffungskosten bewerten.“,measure an asset at historical cost,We need to measure an asset at historical cost before the accounting treatment is finalised.,Aktive Anwendung
v0073,Accounting Foundations,Vocabulary,cost of sales,Umsatzkosten,We need to analyse cost of sales before the accounting treatment is finalised.,Fachbegriff
c0074,Accounting Foundations,Collocation,analyse cost of sales,die Umsatzkosten analysieren,We need to analyse cost of sales before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0075,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „die Umsatzkosten analysieren.“,analyse cost of sales,We need to analyse cost of sales before the accounting treatment is finalised.,Aktive Anwendung
v0076,Accounting Foundations,Vocabulary,gross profit,Bruttoergebnis,We need to calculate gross profit before the accounting treatment is finalised.,Fachbegriff
c0077,Accounting Foundations,Collocation,calculate gross profit,das Bruttoergebnis berechnen,We need to calculate gross profit before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0078,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „das Bruttoergebnis berechnen.“,calculate gross profit,We need to calculate gross profit before the accounting treatment is finalised.,Aktive Anwendung
v0079,Accounting Foundations,Vocabulary,operating profit,operatives Ergebnis,We need to explain the operating profit before the accounting treatment is finalised.,Fachbegriff
c0080,Accounting Foundations,Collocation,explain the operating profit,das operative Ergebnis erläutern,We need to explain the operating profit before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0081,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „das operative Ergebnis erläutern.“,explain the operating profit,We need to explain the operating profit before the accounting treatment is finalised.,Aktive Anwendung
v0082,Accounting Foundations,Vocabulary,net income,Jahresüberschuss,We need to determine net income before the accounting treatment is finalised.,Fachbegriff
c0083,Accounting Foundations,Collocation,determine net income,den Jahresüberschuss ermitteln,We need to determine net income before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0084,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „den Jahresüberschuss ermitteln.“,determine net income,We need to determine net income before the accounting treatment is finalised.,Aktive Anwendung
v0085,Accounting Foundations,Vocabulary,trial balance,Summen- und Saldenliste,We need to review the trial balance before the accounting treatment is finalised.,Fachbegriff
c0086,Accounting Foundations,Collocation,review the trial balance,die Summen- und Saldenliste prüfen,We need to review the trial balance before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0087,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „die Summen- und Saldenliste prüfen.“,review the trial balance,We need to review the trial balance before the accounting treatment is finalised.,Aktive Anwendung
v0088,Accounting Foundations,Vocabulary,general ledger,Hauptbuch,We need to review the general ledger before the accounting treatment is finalised.,Fachbegriff
c0089,Accounting Foundations,Collocation,review the general ledger,das Hauptbuch prüfen,We need to review the general ledger before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0090,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „das Hauptbuch prüfen.“,review the general ledger,We need to review the general ledger before the accounting treatment is finalised.,Aktive Anwendung
v0091,Accounting Foundations,Vocabulary,subledger,Nebenbuch,We need to reconcile the subledger before the accounting treatment is finalised.,Fachbegriff
c0092,Accounting Foundations,Collocation,reconcile the subledger,das Nebenbuch abstimmen,We need to reconcile the subledger before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0093,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „das Nebenbuch abstimmen.“,reconcile the subledger,We need to reconcile the subledger before the accounting treatment is finalised.,Aktive Anwendung
v0094,Accounting Foundations,Vocabulary,chart of accounts,Kontenplan,We need to maintain the chart of accounts before the accounting treatment is finalised.,Fachbegriff
c0095,Accounting Foundations,Collocation,maintain the chart of accounts,den Kontenplan pflegen,We need to maintain the chart of accounts before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0096,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „den Kontenplan pflegen.“,maintain the chart of accounts,We need to maintain the chart of accounts before the accounting treatment is finalised.,Aktive Anwendung
v0097,Accounting Foundations,Vocabulary,journal entry,Buchungssatz,We need to prepare a journal entry before the accounting treatment is finalised.,Fachbegriff
c0098,Accounting Foundations,Collocation,prepare a journal entry,einen Buchungssatz vorbereiten,We need to prepare a journal entry before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0099,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Buchungssatz vorbereiten.“,prepare a journal entry,We need to prepare a journal entry before the accounting treatment is finalised.,Aktive Anwendung
v0100,Accounting Foundations,Vocabulary,debit,Soll,We need to post an amount to the debit side before the accounting treatment is finalised.,Fachbegriff
c0101,Accounting Foundations,Collocation,post an amount to the debit side,einen Betrag im Soll buchen,We need to post an amount to the debit side before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0102,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Betrag im Soll buchen.“,post an amount to the debit side,We need to post an amount to the debit side before the accounting treatment is finalised.,Aktive Anwendung
v0103,Accounting Foundations,Vocabulary,credit,Haben,We need to post an amount to the credit side before the accounting treatment is finalised.,Fachbegriff
c0104,Accounting Foundations,Collocation,post an amount to the credit side,einen Betrag im Haben buchen,We need to post an amount to the credit side before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0105,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „einen Betrag im Haben buchen.“,post an amount to the credit side,We need to post an amount to the credit side before the accounting treatment is finalised.,Aktive Anwendung
v0106,Accounting Foundations,Vocabulary,opening balance,Eröffnungssaldo,We need to carry forward the opening balance before the accounting treatment is finalised.,Fachbegriff
c0107,Accounting Foundations,Collocation,carry forward the opening balance,den Eröffnungssaldo vortragen,We need to carry forward the opening balance before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0108,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „den Eröffnungssaldo vortragen.“,carry forward the opening balance,We need to carry forward the opening balance before the accounting treatment is finalised.,Aktive Anwendung
v0109,Accounting Foundations,Vocabulary,closing balance,Schlusssaldo,We need to confirm the closing balance before the accounting treatment is finalised.,Fachbegriff
c0110,Accounting Foundations,Collocation,confirm the closing balance,den Schlusssaldo bestätigen,We need to confirm the closing balance before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0111,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „den Schlusssaldo bestätigen.“,confirm the closing balance,We need to confirm the closing balance before the accounting treatment is finalised.,Aktive Anwendung
v0112,Accounting Foundations,Vocabulary,supporting document,Buchungsbeleg,We need to attach the supporting document before the accounting treatment is finalised.,Fachbegriff
c0113,Accounting Foundations,Collocation,attach the supporting document,den Buchungsbeleg beifügen,We need to attach the supporting document before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0114,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „den Buchungsbeleg beifügen.“,attach the supporting document,We need to attach the supporting document before the accounting treatment is finalised.,Aktive Anwendung
v0115,Accounting Foundations,Vocabulary,accounting policy,Bilanzierungsrichtlinie,We need to apply the accounting policy before the accounting treatment is finalised.,Fachbegriff
c0116,Accounting Foundations,Collocation,apply the accounting policy,die Bilanzierungsrichtlinie anwenden,We need to apply the accounting policy before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0117,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „die Bilanzierungsrichtlinie anwenden.“,apply the accounting policy,We need to apply the accounting policy before the accounting treatment is finalised.,Aktive Anwendung
v0118,Accounting Foundations,Vocabulary,recognition criteria,Ansatzkriterien,We need to assess the recognition criteria before the accounting treatment is finalised.,Fachbegriff
c0119,Accounting Foundations,Collocation,assess the recognition criteria,die Ansatzkriterien beurteilen,We need to assess the recognition criteria before the accounting treatment is finalised.,Typische berufliche Wortverbindung
a0120,Accounting Foundations,Active Recall,Formuliere professionell auf Englisch: „die Ansatzkriterien beurteilen.“,assess the recognition criteria,We need to assess the recognition criteria before the accounting treatment is finalised.,Aktive Anwendung
v0121,Closing & Reporting,Vocabulary,month-end close,Monatsabschluss,We need to complete the month-end close before the reporting deadline.,Fachbegriff
c0122,Closing & Reporting,Collocation,complete the month-end close,den Monatsabschluss abschließen,We need to complete the month-end close before the reporting deadline.,Typische berufliche Wortverbindung
a0123,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „den Monatsabschluss abschließen.“,complete the month-end close,We need to complete the month-end close before the reporting deadline.,Aktive Anwendung
v0124,Closing & Reporting,Vocabulary,year-end close,Jahresabschluss,We need to complete the year-end close before the reporting deadline.,Fachbegriff
c0125,Closing & Reporting,Collocation,complete the year-end close,den Jahresabschluss abschließen,We need to complete the year-end close before the reporting deadline.,Typische berufliche Wortverbindung
a0126,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „den Jahresabschluss abschließen.“,complete the year-end close,We need to complete the year-end close before the reporting deadline.,Aktive Anwendung
v0127,Closing & Reporting,Vocabulary,closing calendar,Abschlusskalender,We need to follow the closing calendar before the reporting deadline.,Fachbegriff
c0128,Closing & Reporting,Collocation,follow the closing calendar,den Abschlusskalender einhalten,We need to follow the closing calendar before the reporting deadline.,Typische berufliche Wortverbindung
a0129,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „den Abschlusskalender einhalten.“,follow the closing calendar,We need to follow the closing calendar before the reporting deadline.,Aktive Anwendung
v0130,Closing & Reporting,Vocabulary,closing deadline,Abschlussfrist,We need to meet the closing deadline before the reporting deadline.,Fachbegriff
c0131,Closing & Reporting,Collocation,meet the closing deadline,die Abschlussfrist einhalten,We need to meet the closing deadline before the reporting deadline.,Typische berufliche Wortverbindung
a0132,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Abschlussfrist einhalten.“,meet the closing deadline,We need to meet the closing deadline before the reporting deadline.,Aktive Anwendung
v0133,Closing & Reporting,Vocabulary,fast close,beschleunigter Abschluss,We need to implement a fast-close process before the reporting deadline.,Fachbegriff
c0134,Closing & Reporting,Collocation,implement a fast-close process,einen Fast-Close-Prozess umsetzen,We need to implement a fast-close process before the reporting deadline.,Typische berufliche Wortverbindung
a0135,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „einen Fast-Close-Prozess umsetzen.“,implement a fast-close process,We need to implement a fast-close process before the reporting deadline.,Aktive Anwendung
v0136,Closing & Reporting,Vocabulary,reporting package,Reporting Package,We need to submit the reporting package before the reporting deadline.,Fachbegriff
c0137,Closing & Reporting,Collocation,submit the reporting package,das Reporting Package einreichen,We need to submit the reporting package before the reporting deadline.,Typische berufliche Wortverbindung
a0138,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „das Reporting Package einreichen.“,submit the reporting package,We need to submit the reporting package before the reporting deadline.,Aktive Anwendung
v0139,Closing & Reporting,Vocabulary,financial statements,Abschluss / Finanzberichte,We need to prepare the financial statements before the reporting deadline.,Fachbegriff
c0140,Closing & Reporting,Collocation,prepare the financial statements,den Abschluss erstellen,We need to prepare the financial statements before the reporting deadline.,Typische berufliche Wortverbindung
a0141,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „den Abschluss erstellen.“,prepare the financial statements,We need to prepare the financial statements before the reporting deadline.,Aktive Anwendung
v0142,Closing & Reporting,Vocabulary,balance sheet,Bilanz,We need to review the balance sheet before the reporting deadline.,Fachbegriff
c0143,Closing & Reporting,Collocation,review the balance sheet,die Bilanz prüfen,We need to review the balance sheet before the reporting deadline.,Typische berufliche Wortverbindung
a0144,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Bilanz prüfen.“,review the balance sheet,We need to review the balance sheet before the reporting deadline.,Aktive Anwendung
v0145,Closing & Reporting,Vocabulary,income statement,Gewinn- und Verlustrechnung,We need to analyse the income statement before the reporting deadline.,Fachbegriff
c0146,Closing & Reporting,Collocation,analyse the income statement,die Gewinn- und Verlustrechnung analysieren,We need to analyse the income statement before the reporting deadline.,Typische berufliche Wortverbindung
a0147,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Gewinn- und Verlustrechnung analysieren.“,analyse the income statement,We need to analyse the income statement before the reporting deadline.,Aktive Anwendung
v0148,Closing & Reporting,Vocabulary,statement of cash flows,Kapitalflussrechnung,We need to prepare the statement of cash flows before the reporting deadline.,Fachbegriff
c0149,Closing & Reporting,Collocation,prepare the statement of cash flows,die Kapitalflussrechnung erstellen,We need to prepare the statement of cash flows before the reporting deadline.,Typische berufliche Wortverbindung
a0150,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Kapitalflussrechnung erstellen.“,prepare the statement of cash flows,We need to prepare the statement of cash flows before the reporting deadline.,Aktive Anwendung
v0151,Closing & Reporting,Vocabulary,statement of changes in equity,Eigenkapitalveränderungsrechnung,We need to prepare the statement of changes in equity before the reporting deadline.,Fachbegriff
c0152,Closing & Reporting,Collocation,prepare the statement of changes in equity,die Eigenkapitalveränderungsrechnung erstellen,We need to prepare the statement of changes in equity before the reporting deadline.,Typische berufliche Wortverbindung
a0153,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Eigenkapitalveränderungsrechnung erstellen.“,prepare the statement of changes in equity,We need to prepare the statement of changes in equity before the reporting deadline.,Aktive Anwendung
v0154,Closing & Reporting,Vocabulary,notes to the financial statements,Anhang zum Abschluss,We need to draft the notes to the financial statements before the reporting deadline.,Fachbegriff
c0155,Closing & Reporting,Collocation,draft the notes to the financial statements,den Anhang entwerfen,We need to draft the notes to the financial statements before the reporting deadline.,Typische berufliche Wortverbindung
a0156,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „den Anhang entwerfen.“,draft the notes to the financial statements,We need to draft the notes to the financial statements before the reporting deadline.,Aktive Anwendung
v0157,Closing & Reporting,Vocabulary,management report,Lagebericht,We need to prepare the management report before the reporting deadline.,Fachbegriff
c0158,Closing & Reporting,Collocation,prepare the management report,den Lagebericht erstellen,We need to prepare the management report before the reporting deadline.,Typische berufliche Wortverbindung
a0159,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „den Lagebericht erstellen.“,prepare the management report,We need to prepare the management report before the reporting deadline.,Aktive Anwendung
v0160,Closing & Reporting,Vocabulary,account reconciliation,Kontenabstimmung,We need to complete the account reconciliation before the reporting deadline.,Fachbegriff
c0161,Closing & Reporting,Collocation,complete the account reconciliation,die Kontenabstimmung abschließen,We need to complete the account reconciliation before the reporting deadline.,Typische berufliche Wortverbindung
a0162,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Kontenabstimmung abschließen.“,complete the account reconciliation,We need to complete the account reconciliation before the reporting deadline.,Aktive Anwendung
v0163,Closing & Reporting,Vocabulary,balance confirmation,Saldenbestätigung,We need to obtain a balance confirmation before the reporting deadline.,Fachbegriff
c0164,Closing & Reporting,Collocation,obtain a balance confirmation,eine Saldenbestätigung einholen,We need to obtain a balance confirmation before the reporting deadline.,Typische berufliche Wortverbindung
a0165,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „eine Saldenbestätigung einholen.“,obtain a balance confirmation,We need to obtain a balance confirmation before the reporting deadline.,Aktive Anwendung
v0166,Closing & Reporting,Vocabulary,open-item list,Offene-Posten-Liste,We need to review the open-item list before the reporting deadline.,Fachbegriff
c0167,Closing & Reporting,Collocation,review the open-item list,die Offene-Posten-Liste prüfen,We need to review the open-item list before the reporting deadline.,Typische berufliche Wortverbindung
a0168,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Offene-Posten-Liste prüfen.“,review the open-item list,We need to review the open-item list before the reporting deadline.,Aktive Anwendung
v0169,Closing & Reporting,Vocabulary,cut-off,Periodenabgrenzung,We need to perform the cut-off procedures before the reporting deadline.,Fachbegriff
c0170,Closing & Reporting,Collocation,perform the cut-off procedures,die Periodenabgrenzung durchführen,We need to perform the cut-off procedures before the reporting deadline.,Typische berufliche Wortverbindung
a0171,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Periodenabgrenzung durchführen.“,perform the cut-off procedures,We need to perform the cut-off procedures before the reporting deadline.,Aktive Anwendung
v0172,Closing & Reporting,Vocabulary,late adjustment,nachträgliche Abschlussbuchung,We need to post a late adjustment before the reporting deadline.,Fachbegriff
c0173,Closing & Reporting,Collocation,post a late adjustment,eine nachträgliche Abschlussbuchung erfassen,We need to post a late adjustment before the reporting deadline.,Typische berufliche Wortverbindung
a0174,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „eine nachträgliche Abschlussbuchung erfassen.“,post a late adjustment,We need to post a late adjustment before the reporting deadline.,Aktive Anwendung
